,Iterations,train_loss,train_acc,train_top1,train_f1,test_top1,test_f1
0,0,1.5730912496848983,0.42469705854143414,0.4468723249678709,0.45610650510204076,0.5071937441825867,0.5116
1,1,1.2815560722837642,0.5379065688775511,0.5267253429914007,0.5314692283163265,0.5830913186073303,0.5852
2,2,1.1398507438752117,0.5900789377640705,0.5484454762570712,0.5566167091836735,0.6071934700012207,0.6123
3,3,1.0472317143362395,0.627140473346321,0.6117523263911812,0.6157963966836735,0.6619670987129211,0.6634
4,4,0.9950373309607409,0.6497887591926419,0.6345594294217168,0.6407007334183673,0.6751993298530579,0.6799
5,5,0.944097383289921,0.666796859429807,0.6654484816351716,0.674154974489796,0.6966325044631958,0.7028
6,6,0.9001009756205033,0.6831712528150908,0.6796229049867514,0.6848014987244898,0.7084748148918152,0.7116
7,7,0.8667994427437685,0.6956752076440927,0.679348713889414,0.6844866071428573,0.727575421333313,0.7294
8,8,0.8345981337586228,0.7085259885204082,0.6803487718713527,0.6846540178571427,0.7231842875480652,0.7244
9,9,0.8108087966636736,0.7153300071249202,0.6997603132408492,0.7076969068877551,0.7469378709793091,0.7505
10,10,0.7858778749193464,0.7255540186045121,0.6943603717550939,0.6983338647959183,0.7319547533988953,0.7327
11,11,0.7723605857819927,0.7308314576440927,0.6985672645422877,0.7009964923469387,0.7358146905899048,0.7333
12,12,0.7521133590109494,0.7391063145228794,0.7055077044939508,0.7092992665816327,0.7459059953689575,0.7466
13,13,0.7346672625566015,0.7450254790636958,0.7080524734088353,0.7174665178571429,0.7452070116996765,0.7499
14,14,0.7198964372581366,0.7485929216657367,0.7380942124493268,0.7425821109693879,0.770086407661438,0.7724
15,15,0.7040448985537704,0.755612276038345,0.7504723731960569,0.7541414221938776,0.7668251395225525,0.7676
16,16,0.6886282405074762,0.7609095670738999,0.7126517195482643,0.7233458227040817,0.751578152179718,0.7579
17,17,0.6813956418511818,0.7656608892946827,0.7562803242887769,0.763069993622449,0.779106855392456,0.7845
18,18,0.6754524023557196,0.7658920288085938,0.7711613701314343,0.7750996492346939,0.7895210385322571,0.791
19,19,0.6566100582784536,0.7742705831722337,0.746744344429094,0.7556560905612245,0.765522301197052,0.7714
20,20,0.6472438783669958,0.7761917892767458,0.7438948780906444,0.7490393813775511,0.7709394693374634,0.7724
21,21,0.6405458062583086,0.7774075099400112,0.7635091540156579,0.7683713329081633,0.7916741371154785,0.7929
22,22,0.6283903936950528,0.7828165171097736,0.7619348238317334,0.7667450573979592,0.7865743041038513,0.7887
23,23,0.6244396051886131,0.7839963484783562,0.7800139879085579,0.7821867028061225,0.8028954863548279,0.8028
24,24,0.6089240493518966,0.7899952324069276,0.7688138256875836,0.7788942920918368,0.7842063903808594,0.7904
25,25,0.6072882204031458,0.7899354428661113,0.7787415832281113,0.7801777742346938,0.8015382885932922,0.8007
26,26,0.6021135545202664,0.7921316964285714,0.7824123115563879,0.7858498086734694,0.7979175448417664,0.7985
27,27,0.595345810815996,0.7936782836914062,0.7815709472918997,0.785008769132653,0.7972939014434814,0.7984
28,28,0.5861127376556396,0.7943319203902264,0.7947489464161347,0.799055325255102,0.7985081672668457,0.8005
29,29,0.5740334224336001,0.7999282369808275,0.7887860965363833,0.7894013073979592,0.8061687350273132,0.8043
30,30,0.5741406563593416,0.801072256905692,0.8067875574437939,0.8113639987244898,0.8112538456916809,0.8136
31,31,0.5679888097303254,0.8015585140306123,0.7995531568113639,0.8020607461734693,0.8125357031822205,0.8125
32,32,0.566140429553937,0.8024274864975287,0.7986752293547805,0.804037786989796,0.8110777139663696,0.8136
33,33,0.5610582174695268,0.8056760515485492,0.7851144717055925,0.7872847576530613,0.7980461716651917,0.7976
34,34,0.553971857896873,0.8082030938596142,0.8072227163582432,0.810694355867347,0.8136845827102661,0.8153
35,35,0.5568611778470934,0.8067482150330836,0.7868344193818618,0.7868742028061224,0.8009609580039978,0.7989
36,36,0.5507825356052847,0.8088329081632653,0.8081814777486178,0.8120176977040817,0.8198243975639343,0.8206
37,37,0.5433403382800064,0.8112643494897959,0.8054890659998875,0.8087492028061225,0.8100720643997192,0.8119
38,38,0.537882864171145,0.8142219076351244,0.8100032575276433,0.8148557079081632,0.816699206829071,0.8192
39,39,0.538386695543114,0.811894163793447,0.8157267144748143,0.8178810586734694,0.8214260339736938,0.8204
40,40,0.534168861198182,0.8148756221849092,0.8142573508072872,0.8176817602040817,0.8246280550956726,0.8264
41,41,0.529487780770477,0.8158322548379704,0.7838828925575528,0.7876434948979593,0.8014612197875977,0.802
42,42,0.5294364225499484,0.8172752224669164,0.7989927904338253,0.7973014987244899,0.8197203874588013,0.8166
43,43,0.5257268850596584,0.8191486280791613,0.8268715426021692,0.8289779974489796,0.8307902216911316,0.8308
44,44,0.5219999857398928,0.8214804201709981,0.822025187161504,0.82421875,0.8282129168510437,0.8281
45,45,0.5192412385831073,0.8203643487424267,0.8232830051256685,0.8260004783163266,0.8290941119194031,0.8303
46,46,0.5150336465057062,0.8220941971759407,0.8178136795759201,0.8213089923469388,0.8244872093200684,0.8253
47,47,0.5111253378646714,0.8230548780791613,0.8225759650979724,0.8260044642857143,0.8210016489028931,0.8226
48,48,0.5105071283724844,0.8210179854412468,0.8185811717899478,0.8239317602040817,0.8186326026916504,0.821
49,49,0.5069063409250609,0.8254464597118144,0.8176946253800879,0.8208864795918368,0.8245893716812134,0.8264
50,50,0.4995698503085545,0.8262515943877551,0.8087647843117617,0.8133848852040817,0.8160091638565063,0.8182
51,51,0.4962423674914302,0.8275390936403858,0.8145137085598342,0.8192641900510205,0.8201106190681458,0.8228
52,52,0.5043245789651968,0.8246532362334582,0.8256432666462294,0.8299505739795918,0.8294636607170105,0.831
53,53,0.500185410130997,0.8279057716836735,0.827931596916549,0.8299465880102042,0.8295760154724121,0.8297
54,54,0.4983570890463128,0.8293008609693877,0.8260288962296077,0.8286670918367346,0.8298912048339844,0.8302
55,55,0.49338986861462497,0.8297752068967236,0.8189742951368799,0.8226921237244899,0.8191267251968384,0.8204
56,56,0.48936357926957463,0.8295161188865194,0.828130879876565,0.8290577168367348,0.8306488394737244,0.8297
57,57,0.4892706370779446,0.8309231193698182,0.8221116990459209,0.8227319834183674,0.8251701593399048,0.8247
58,58,0.4823065299768837,0.8327526948889907,0.827993885290866,0.8309271364795918,0.8363552093505859,0.8369
59,59,0.4789867603353092,0.8335498887665418,0.8326693879706519,0.8350167410714286,0.8306517601013184,0.8305
60,60,0.4831233264840379,0.8344666617257255,0.8245833044757649,0.8284598214285714,0.8276296854019165,0.829
61,61,0.47834487061719505,0.8350765461824379,0.8314006179571152,0.8346580038265307,0.8288130760192871,0.8299
62,62,0.4764293649671029,0.8349529967016104,0.8264896358762469,0.830500637755102,0.8268753290176392,0.8286
63,63,0.47580176181330974,0.834765609429807,0.8206133799893516,0.8240792410714286,0.8172511458396912,0.8188
64,64,0.4726886551599113,0.8359574298469388,0.8294433981788402,0.8326969068877551,0.82854825258255,0.8297
65,65,0.4658982341690939,0.8396604109783562,0.838811784678576,0.8418447066326531,0.8346638083457947,0.8357
66,66,0.47478277266633756,0.8348732773138552,0.82905769317734,0.8315210459183674,0.8285382390022278,0.8288
67,67,0.4732965740318201,0.8367107936314174,0.8358946682847276,0.8383888711734694,0.830051064491272,0.8305
68,68,0.47146348746455446,0.8360450900330836,0.8294930941596323,0.8324657206632654,0.8241257071495056,0.8249
69,69,0.46854976823135297,0.836459646419603,0.8318513543630133,0.8344108737244899,0.8257331848144531,0.8263
70,70,0.468124905867236,0.8360610494808275,0.8318695638860975,0.8359933035714286,0.833308219909668,0.835
71,71,0.46191859427763493,0.8397121818698182,0.8394782722604518,0.8426458864795918,0.8379278182983398,0.8386
72,72,0.4675634363476111,0.838165672457948,0.8411255463653681,0.8439492984693877,0.8410407900810242,0.8416
73,73,0.4630160334767128,0.8403778854681521,0.832566357084683,0.8363480548469387,0.8327032923698425,0.8337
74,74,0.46710286152606106,0.8368144132653061,0.8364834995294104,0.8408402423469388,0.8359348177909851,0.8378
75,75,0.4616389916259415,0.8398198497538664,0.8358485513195699,0.8401227678571429,0.8292480707168579,0.8312
76,76,0.4555170456973874,0.8411869905432876,0.8302913949805864,0.8327168367346939,0.8274406790733337,0.8275
77,77,0.4602360628089126,0.8395567913444675,0.840033585623819,0.8421755420918368,0.837495744228363,0.8374
78,78,0.4543042648203519,0.8431959346849092,0.8377044228266697,0.8398875956632652,0.8324946761131287,0.8323
79,79,0.46182534980530643,0.8394172824158961,0.8408228216730819,0.8429328762755102,0.8429071307182312,0.8426
80,80,0.45559036807746306,0.8411033007563377,0.8414268825127154,0.8427176339285714,0.8391589522361755,0.8384
81,81,0.45850392780741867,0.8406330030791613,0.8420242916564552,0.846743463010204,0.8368606567382812,0.8392
82,82,0.4551786987148986,0.8405890951351244,0.837889918259212,0.8426299426020408,0.8369415402412415,0.8395
83,83,0.4490961170926386,0.8432596946249202,0.843185906507531,0.8458585778061225,0.8366296887397766,0.8373
84,84,0.448093056222614,0.8450733106963488,0.8322940937110356,0.8345025510204082,0.8270565867424011,0.8275
85,85,0.44894221987651317,0.8448341525330836,0.8514576952676384,0.852654655612245,0.8453565835952759,0.8443
86,86,0.44636211544275284,0.8459900836555325,0.8407116216056201,0.8427814094387756,0.8376386761665344,0.8384
87,87,0.4471786032829966,0.8452048788265306,0.8396495203582608,0.8421436543367348,0.8349899649620056,0.8352
