B_max,B_opt,B_opt_f1
36,20.0,0.9989753086419753
109,48.0,0.97654742224327
96,49.0,0.8330031266352695
115,58.0,0.6201095238095238
134,69.0,0.5453963564213564
154,80.0,0.5136928571428572
223,87.0,0.3906
284,114.0,0.3767333333333333
582,186.0,0.3640333333333333
848,252.0,0.3469
