B_max,B_opt,B_opt F1 err
12,2.0,0.9996816990314983
15,2.0,0.9996816990314983
15,2.0,0.9996816990314983
12,2.0,0.9996816990314983
12,2.0,0.9996816990314983
12,2.0,0.9996816990314983
15,2.0,0.9996816990314983
15,2.0,0.9996816990314983
15,2.0,0.9996816990314983
12,2.0,0.9996816990314983
12,2.0,0.9996816990314983
15,2.0,0.9996816990314983
35,5.0,0.9996312018192839
29,5.0,0.9996312018192839
29,5.0,0.9996312018192839
16,7.0,0.9986295856069773
16,7.0,0.9986295856069773
16,7.0,0.9986295856069773
16,7.0,0.9986295856069773
14,9.0,0.9971182742156088
14,9.0,0.9971182742156088
14,9.0,0.9971182742156088
14,9.0,0.9971182742156088
14,9.0,0.9971182742156088
14,9.0,0.9971182742156088
14,9.0,0.9971182742156088
14,9.0,0.9971182742156088
14,9.0,0.9971182742156088
17,14.0,0.9504148811101913
17,14.0,0.9504148811101913
17,14.0,0.9504148811101913
17,14.0,0.9504148811101913
17,14.0,0.9504148811101913
39,21.0,0.9021482393145561
39,21.0,0.9021482393145561
37,22.0,0.7817233204841614
37,22.0,0.7817233204841614
37,22.0,0.7817233204841614
37,22.0,0.7817233204841614
53,24.0,0.7692178785800934
53,24.0,0.7692178785800934
53,24.0,0.7692178785800934
40,30.0,0.686335563659668
40,30.0,0.686335563659668
40,30.0,0.686335563659668
49,32.0,0.5929180085659027
49,32.0,0.5929180085659027
49,32.0,0.5929180085659027
46,36.0,0.5627545714378357
46,36.0,0.5627545714378357
46,36.0,0.5627545714378357
81,46.0,0.5280037224292755
81,46.0,0.5280037224292755
81,46.0,0.5280037224292755
81,46.0,0.5280037224292755
84,49.0,0.5132745802402496
84,49.0,0.5132745802402496
84,49.0,0.5132745802402496
84,49.0,0.5132745802402496
104,72.0,0.5122448205947876
104,72.0,0.5122448205947876
104,72.0,0.5122448205947876
104,72.0,0.5122448205947876
104,72.0,0.5122448205947876
133,86.0,0.5121484994888306
133,86.0,0.5121484994888306
199,132.0,0.5008503198623657
