B_max,B_opt,B_opt_f1
64,17.0,0.1648062410641058
64,17.0,0.1648062410641058
95,19.0,0.10223075125619219
150,26.0,0.10084292728255573
155,32.0,0.10015206970382629
155,32.0,0.10015206970382629
