B_max,B_opt,B_opt F1 err
14,2.0,0.9798752199858427
14,2.0,0.9798752199858427
9,2.0,0.9798752199858427
14,2.0,0.9798752199858427
14,2.0,0.9798752199858427
14,2.0,0.9798752199858427
14,2.0,0.9798752199858427
14,2.0,0.9798752199858427
14,2.0,0.9798752199858427
10,5.0,0.9625114873051643
10,5.0,0.9625114873051643
10,5.0,0.9625114873051643
10,5.0,0.9625114873051643
10,5.0,0.9625114873051643
10,5.0,0.9625114873051643
10,5.0,0.9625114873051643
10,5.0,0.9625114873051643
10,5.0,0.9625114873051643
10,5.0,0.9625114873051643
10,5.0,0.9625114873051643
11,7.0,0.9456902630627155
11,7.0,0.9456902630627155
11,7.0,0.9456902630627155
11,7.0,0.9456902630627155
11,7.0,0.9456902630627155
11,7.0,0.9456902630627155
11,7.0,0.9456902630627155
11,7.0,0.9456902630627155
11,7.0,0.9456902630627155
11,7.0,0.9456902630627155
11,7.0,0.9456902630627155
18,8.0,0.5875560641288757
18,8.0,0.5875560641288757
18,8.0,0.5875560641288757
18,8.0,0.5875560641288757
18,8.0,0.5875560641288757
18,8.0,0.5875560641288757
18,8.0,0.5875560641288757
24,9.0,0.32240235805511475
26,12.0,0.25702208280563354
33,17.0,0.2339957356452942
33,17.0,0.2339957356452942
33,17.0,0.2339957356452942
31,18.0,0.23130249977111816
31,18.0,0.23130249977111816
31,18.0,0.23130249977111816
31,18.0,0.23130249977111816
31,18.0,0.23130249977111816
31,18.0,0.23130249977111816
39,21.0,0.21669018268585205
39,21.0,0.21669018268585205
39,21.0,0.21669018268585205
39,21.0,0.21669018268585205
39,21.0,0.21669018268585205
39,21.0,0.21669018268585205
39,21.0,0.21669018268585205
46,25.0,0.21047037839889526
46,25.0,0.21047037839889526
46,25.0,0.21047037839889526
56,27.0,0.20615118741989136
56,27.0,0.20615118741989136
54,31.0,0.20188671350479126
54,31.0,0.20188671350479126
54,31.0,0.20188671350479126
54,31.0,0.20188671350479126
68,35.0,0.19858664274215698
68,35.0,0.19858664274215698
68,35.0,0.19858664274215698
68,35.0,0.19858664274215698
77,37.0,0.19660234451293945
77,37.0,0.19660234451293945
77,37.0,0.19660234451293945
89,45.0,0.19418859481811523
126,56.0,0.19407975673675537
126,56.0,0.19407975673675537
126,56.0,0.19407975673675537
152,67.0,0.19242429733276367
152,67.0,0.19242429733276367
