B_max,B_opt,B_opt_f1
38,11.0,0.9999662367572548
72,31.0,0.997325870646766
81,40.0,0.9710133223802342
88,45.0,0.897538699010566
119,52.0,0.6067284289784289
162,72.0,0.5559515873015873
223,87.0,0.3906
284,114.0,0.3767333333333333
471,168.0,0.3678666666666667
493,176.0,0.3505333333333332
