,Iterations,train_loss,train_acc,train_top1,train_f1,test_top1,test_f1
0,0,3.901719127382551,0.10496485963159678,0.11848485424202315,0.14508063691278397,0.12529215216636658,0.1521
1,1,3.327508425226017,0.1929212881594288,0.16994351209426412,0.197265625,0.18485350906848907,0.2072
2,2,3.052218023611575,0.23884304202332787,0.22747123271835093,0.2562339057085098,0.24484331905841827,0.2632
3,3,2.8619215975002366,0.27948375624053334,0.24692730483960132,0.2715321314256835,0.25422343611717224,0.2713
4,4,2.721971774587826,0.30600625641491946,0.28034431715400854,0.3071415034174047,0.3049861192703247,0.3236
5,5,2.5938472553175322,0.33079785716776944,0.2995111376655345,0.3179096373219099,0.3103410601615906,0.3192
6,6,2.4758686386809057,0.35797049074756854,0.3230750688484737,0.34943790310935696,0.33644020557403564,0.3523
7,7,2.374143950793208,0.37793381360112405,0.32853289404693914,0.3523348755775895,0.3357553780078888,0.3474
8,8,2.291782656494452,0.39526904359155773,0.36064370919247063,0.37906756894974974,0.3726058900356293,0.3817
9,9,2.20131254196167,0.4160708991848693,0.3853835518262824,0.40158039925876016,0.3841182589530945,0.3909
10,10,2.130688253714114,0.42702328428930164,0.39762496583315793,0.41459045292645363,0.38863304257392883,0.3932
11,11,2.0659770479007644,0.4435079146404656,0.4223991504737309,0.43717209761263,0.40741121768951416,0.41
12,12,2.0102553270301042,0.4570805296605947,0.43128866504649727,0.44427088347131305,0.41141703724861145,0.4134
13,13,1.9374065812753172,0.4740930674027424,0.42738115483400774,0.44639848864073933,0.41567713022232056,0.4239
14,14,1.9012055494347397,0.4804010585862763,0.4547527949420773,0.4730909462841741,0.43717390298843384,0.4429
15,15,1.8439689753006916,0.4930422257403938,0.4563590294244338,0.47549493706680784,0.42700761556625366,0.4349
16,16,1.7879812206540788,0.508595018970723,0.4852952069165755,0.5028627532970735,0.45497581362724304,0.4589
17,17,1.7417286658773616,0.5174160392916932,0.4874806519673795,0.5035787236474779,0.4472672939300537,0.4535
18,18,1.6953837993193646,0.5264593241166096,0.4858584379663273,0.5035768434732384,0.44064170122146606,0.4486
19,19,1.6448375789486631,0.538769936075016,0.5045154392719269,0.5207383218617636,0.45175811648368835,0.4582
20,20,1.5994261138293209,0.5492334949726961,0.5221341678074428,0.5368608159655371,0.46390506625175476,0.4665
21,21,1.5622627078270426,0.5594638902313855,0.5337710210255214,0.5480617659799769,0.46596747636795044,0.4712
22,22,1.5133053015689462,0.571119853428432,0.5565818523874089,0.5703267893242202,0.4794038236141205,0.482
23,23,1.4867431509251496,0.5778267918800821,0.5504524403688859,0.5666247262466307,0.4656619131565094,0.4707
24,24,1.4434073530897802,0.5883005103286432,0.5751840022145486,0.5925395438246053,0.47990721464157104,0.4868
25,25,1.3922590552544107,0.602104731968471,0.565772284050377,0.582466322319022,0.4710206389427185,0.4765
26,26,1.37640980798371,0.6025969836176658,0.5912096670695713,0.6023344995427417,0.4776502847671509,0.4743
27,27,1.3276754301421496,0.6163504464285714,0.6029323692224464,0.6169607509867154,0.4814964830875397,0.4857
28,28,1.287814313051652,0.6248924488923988,0.6140248094286237,0.6261916544329996,0.48273521661758423,0.4854
29,29,1.25332003466937,0.6337743875931721,0.6227079921839188,0.6359636720254139,0.4788953959941864,0.4827
30,30,1.2163811143563719,0.6456446744957749,0.626221874538733,0.6350991679100886,0.4809247553348541,0.4798
31,31,1.1809723304242503,0.6539911542619977,0.6292403364668087,0.6419110391798228,0.48250311613082886,0.4838
32,32,1.1604381142830362,0.6572570022271604,0.6232686675324732,0.6365476541442049,0.4653090834617615,0.4693
33,33,1.1136121311966254,0.6734885390923948,0.6491803636356276,0.6619473039805545,0.483468234539032,0.4843
34,34,1.0870126802094129,0.6782424303950095,0.6460823659994164,0.658046694503273,0.4692840576171875,0.4725
35,35,1.041793375599141,0.6897915431431362,0.6748923817459418,0.6866245908740854,0.48458200693130493,0.487
36,36,1.0132406645891618,0.6979417606275908,0.6682767126024985,0.6787492930544861,0.48358893394470215,0.4835
37,37,0.9845900316627658,0.706167104292889,0.7032130506573891,0.7154337486763572,0.49080267548561096,0.4946
38,38,0.9409077082361493,0.7189011865732621,0.7010755429462511,0.7097529902291105,0.4824366271495819,0.4822
39,39,0.9108513812629544,0.7240569445551658,0.6957649029031092,0.7080875318877551,0.4823867678642273,0.4841
40,40,0.8880131390629983,0.7321153757523517,0.7159053391339828,0.7279387875433192,0.4805535674095154,0.4855
41,41,0.871406758318142,0.7385516264000718,0.7151810563340479,0.724143843858298,0.4887673854827881,0.4866
42,42,0.8234966579748659,0.7469725316884567,0.7519257761994187,0.7622549756931074,0.4899081289768219,0.4925
43,43,0.7930949780405784,0.7589988708496094,0.7434345240495643,0.7540307175346554,0.48449379205703735,0.4861
44,44,0.7687655079121493,0.765411766207948,0.7385087366006813,0.7472722432133231,0.4808517396450043,0.4793
45,45,0.7413893889407722,0.7742692597058355,0.7575536990652278,0.7651553324749711,0.4826103448867798,0.4791
46,46,0.7170085517727599,0.7816918042241311,0.7637143986565726,0.7734104254909511,0.4901064336299896,0.4956
47,47,0.7051599585280126,0.782984986597178,0.7771036174832558,0.7864652273055449,0.48958098888397217,0.4906
48,48,0.6787442832576985,0.7926652869399713,0.7736195617792557,0.7820426814593763,0.48243749141693115,0.4864
49,49,0.6533112623253647,0.7996501533352599,0.7969326814826654,0.8052571927945706,0.4997559189796448,0.5039
50,50,0.6379714656849297,0.8054801785216039,0.7824526562982675,0.7923776232190989,0.492220014333725,0.4956
51,51,0.612088034347612,0.8101768493652344,0.7987656909592298,0.8070151557085098,0.48346152901649475,0.4844
52,52,0.5824520070942081,0.8208908548160475,0.7973285074136696,0.8043727588323065,0.47618651390075684,0.4779
53,53,0.5586619097359327,0.8311479529555963,0.8069407745283477,0.8138785437524065,0.4882434010505676,0.4873
54,54,0.5647513361609712,0.825951556770169,0.7971010183801457,0.805316982335387,0.4837425947189331,0.4843
55,55,0.5340513787707504,0.8362179970254704,0.8139700524661005,0.8222314058288409,0.4830211400985718,0.4848
56,56,0.5380584238743296,0.8351944903938138,0.8246478255914182,0.8321188661195611,0.48222261667251587,0.4836
57,57,0.516348871649528,0.8407571753677057,0.8314916004939955,0.8395030624278013,0.4786527454853058,0.4809
58,58,0.5083328607131024,0.8431159817442602,0.8160780935871358,0.8226905443781286,0.47224050760269165,0.4722
59,59,0.490712866491201,0.8490494708625638,0.8366649442789506,0.8429524300876011,0.4880736470222473,0.4898
60,60,0.4722819583756583,0.8550983351104113,0.8376918276961969,0.8450341590055833,0.49509382247924805,0.4969
61,61,0.46517911735846074,0.8595024420290577,0.8358892384840517,0.8428775991528686,0.48595693707466125,0.488
62,62,0.46626272189373874,0.8561708099988042,0.8490549946317867,0.8548595735463996,0.4905606806278229,0.4908
63,63,0.4450308145308981,0.8623039089903539,0.8398956546978075,0.846313053523296,0.4800735116004944,0.4815
